n_sites,theta1,max_lambda,max_entropy,peak_time_lambda,norm_drift,max_magic_m2,peak_time_m2,peak_lag_m2_minus_lambda,max_abs_dlambda_dt,max_abs_dm2_dt
6.0,0.0,2.220446049250314e-16,0.22807231345757062,1.5333333333333332,1.4432899320127035e-15,1.0084901620272682,0.8,-0.7333333333333332,1.110223024625161e-15,1.3322676295501878e-14
6.0,0.8,0.0011568688505454365,0.22807231345756993,1.8,2.886579864025407e-15,1.0206232686709384,6.0,4.2,0.0010129846170813597,0.06339787348036197
6.0,1.2,0.0025653421684784764,0.22807231345756984,1.8,4.440892098500626e-16,1.0440639176718518,2.8,0.9999999999999998,0.002259177665581579,0.13559448478274572
6.0,1.6,0.004498891755153241,0.22807231345757015,1.8,1.5543122344752192e-15,1.074543221966623,2.7333333333333334,0.9333333333333333,0.003978418568023058,0.23167259735768297
6.0,2.0,0.006941762836369882,0.2280723134575696,1.8,1.7763568394002505e-15,1.1045098488057086,2.8,0.9999999999999998,0.006153608696379598,0.3323852062331083
6.0,2.4,0.009883097259093726,0.2280723134575697,1.8,4.218847493575595e-15,1.1270499140131687,2.8,0.9999999999999998,0.008766136122690713,0.41673740464055076
8.0,0.0,-0.0,0.22558266757186463,0.0,2.220446049250313e-15,1.3965262507490062,0.7333333333333333,0.7333333333333333,0.0,1.4210854715202004e-14
8.0,0.8,0.001229378152457847,0.2904557902971109,1.8,1.3322676295501878e-15,1.425163464512968,5.933333333333334,4.133333333333334,0.0010652175610590567,0.08893008361727972
8.0,1.2,0.002739346567801805,0.32603977534296885,1.8,3.1086244689504383e-15,1.4613269850269814,5.8,4.0,0.0023805373150495857,0.1959380089745455
8.0,1.6,0.004827286750266397,0.3583261223176181,1.8,2.1094237467877974e-15,1.5055535692453148,2.7333333333333334,0.9333333333333333,0.0042007376509892065,0.3238248077769885
8.0,2.0,0.007484092760989976,0.3881865585933691,1.8,1.3322676295501878e-15,1.5499253492778857,2.7333333333333334,0.9333333333333333,0.006510852192683707,0.44864977628003366
8.0,2.4,0.010707598796262237,0.4266019639142042,1.8666666666666667,8.881784197001252e-16,1.5829426037537582,2.8,0.9333333333333331,0.009294212309978143,0.5415818436994417
